Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,1,300,,5,,,Nhà biệt thự,20500000000,"20,5 tỷ",68.333336
Long Thuận,Phường Long Phước (Quận 9 cũ),Thành phố Thủ Đức,1,50,,3,3,,"Nhà ngõ, hẻm",3990000000,"3,99 tỷ",79.8
Đường Vườn Lài,Phường Phú Thọ Hòa,Quận Tân Phú,1,20,2,3,3,,"Nhà ngõ, hẻm",1750000000,"1,75 tỷ",87.5
Đường Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,1,68,4,4,4,,"Nhà mặt phố, mặt tiền",5700000000,"5,7 tỷ",83.82353
Đường Hoà Mỹ,Phường Đa Kao,Quận 1,1,24,5,3,3,,"Nhà ngõ, hẻm",6000000000,6 tỷ,250
Cách Mạng Tháng Tám,Phường 13,Quận 10,1,40,5,3,4,,"Nhà ngõ, hẻm",6800000000,"6,8 tỷ",170
Đường Nguyễn Thị Đặng,Phường Tân Thới Hiệp,Quận 12,1,58,3,3,3,,"Nhà ngõ, hẻm",4850000000,"4,85 tỷ",83.62069
Đường Thăng Long,Phường 4,Quận Tân Bình,1,70,5,4,,,"Nhà ngõ, hẻm",12000000000,12 tỷ,171.42857
Đường Nam Kỳ Khởi Nghĩa,Phường Võ Thị Sáu,Quận 3,1,32,5,7,7,,"Nhà ngõ, hẻm",8500000000,"8,5 tỷ",265.625
Đường Nguyễn Ảnh Thủ,Phường Tân Chánh Hiệp,Quận 12,5,22,2,2,2,,"Nhà ngõ, hẻm",820000000,820 triệu,37.272728
Hậu Giang,Phường 11,Quận 6,1,44,,4,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",147.72728
An Dưng Vương,Phường An Lạc,Quận Bình Tân,1,60,5,5,5,,"Nhà mặt phố, mặt tiền",5500000000,"5,5 tỷ",91.666664
Đường Thạnh Xuân 43,Phường Thạnh Xuân,Quận 12,1,50,3,4,5,,"Nhà ngõ, hẻm",4980000000,"4,98 tỷ",99.6
Đường Nguyễn Thiện Thuật,Phường 3,Quận 3,1,32,44,2,3,,"Nhà ngõ, hẻm",7000000000,7 tỷ,218.75
Đường Phạm Văn Chiêu,Phường 9,Quận Gò Vấp,1,90,,7,,,"Nhà ngõ, hẻm",8000000000,8 tỷ,88.888885
Trần Văn Mười,Xã Xuân Thới Đông,Huyện Hóc Môn,1,52,2,3,2,,"Nhà ngõ, hẻm",2750000000,"2,75 tỷ",52.884617
Đường Cách Mạng Tháng 8,Phường 10,Quận 3,1,25,4,3,4,,"Nhà ngõ, hẻm",5800000000,"5,8 tỷ",232
Đường Liên khu 4-5,Phường Bình Hưng Hoà B,Quận Bình Tân,1,50,3,4,,Hướng Tây,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",70
Hẻm 330 Bình Trị Đông,Phường Bình Trị Đông A,Quận Bình Tân,1,60,,4,,,"Nhà ngõ, hẻm",4800000000,"4,8 tỷ",80
Đường Lê Đức Thọ,Phường 13,Quận Gò Vấp,1,204,,1,,,"Nhà ngõ, hẻm",13400000000,"13,4 tỷ",65.68627
Đường Nguyễn Văn Bứa,Xã Xuân Thới Sơn,Huyện Hóc Môn,1,100,,2,1,Hướng Đông,"Nhà ngõ, hẻm",3250000000,"3,25 tỷ",32.5
Đường Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,1,65,2,2,2,Hướng Tây Nam,"Nhà ngõ, hẻm",3500000000,"3,5 tỷ",53.846153
Đường Lê Văn Sỹ,Phường 12,Quận 3,1,34,55,4,4,,"Nhà ngõ, hẻm",7200000000,"7,2 tỷ",211.76471
Đường Quốc Lộ 50,Phường 5,Quận 8,2,32,2,2,2,,"Nhà ngõ, hẻm",1950000000,"1,95 tỷ",60.9375
